S.No,Product Name,Catalog No,CAS Number,Chemical / Systematic Name,Molecular Formula,Molecular Weight,Purity,Stock Status,Sub Category,Main Category,Product Slug,Live Product URL,Image URL,Created Date,Updated Date,MongoDB ID
614,Mycophenolate Mofetil Ethyl Ester,PV-M006010,13312-25-9,"4-​Hexenoic acid, 6-​(1,​3-​dihydro-​4-​hydroxy-​6-​methoxy-​7-​methyl-​3-​oxo-​5-​isobenzofuranyl)​-​4-​methyl-​, ethyl ester;  4-Hexenoic acid, 6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-5-phthalanyl)-4-methyl-, ethyl ester (8CI)",C19H24O6,348.4,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ethyl-ester,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ethyl-ester,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454218/products/svzhk6kmkhncwo7cbjdv.png,2025-07-25 14:34:01,2025-07-25 14:36:58,688395d963998afe53414a21
615,Mycophenolate Sodium,PV-M006011,37415-62-6,"Sodium (E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3-dihydroisobenzofuran-5-yl)-4-methylhex-4-enoate",C17H19O6 : Na,319.3 : 23.0,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-sodium,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-sodium,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454230/products/jctgbgccgsg0dg6uhoyh.png,2025-07-25 14:34:02,2025-07-25 14:37:11,688395da63998afe53414a25
616,Mycophenolic Acid O-Methyl Methyl Ester,PV-M006009,60435-90-7,"Methyl (E)-6-(1,3-dihydro-4,6-dimethoxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-4-hexenoate ;",C19H24O6,348.4,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolic-acid-o-methyl-methyl-ester,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolic-acid-o-methyl-methyl-ester,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454205/products/llvpii8iaotjmbmvlgxz.png,2025-07-25 14:34:01,2025-07-25 14:36:45,688395d963998afe53414a1d
617,"N,N-Didesmethyl Ulipristal",PV-U002002,244206-52-8,"(11β)-11-(4-Aminophenyl)-17-hydroxy-19-norpregna-4,9-diene-3,20-dione",C26H31NO3,405.5,,In Stock,Ulipristal,API Impurity Standards,nn-didesmethyl-ulipristal,https://pharmavive.com/products/browse/ulipristal/nn-didesmethyl-ulipristal,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753718206/products/xqxubdntzwszbtfrkhvn.png,2025-07-28 15:54:48,2025-07-28 15:56:47,68879d4863998afe53415eb2
618,N-Aminocarbonyl Felbamate,PV-F002003,1797130-34-7,"Carbamic acid, N-​(aminocarbonyl)​-​, 3-​[(aminocarbonyl)​oxy]​-​2-​phenylpropyl ester",C12H15N3O5,281.3,,In Stock,Felbamate,API Impurity Standards,n-aminocarbonyl-felbamate,https://pharmavive.com/products/browse/felbamate/n-aminocarbonyl-felbamate,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753368859/products/vywkndb1qjf1fxoa6zug.png,2025-07-24 14:52:54,2025-07-24 14:54:19,688248c663998afe53413c4d
619,N-Boc-Sitagliptin,PV-S006014,486460-23-5,"tert-butyl (R)-(4-oxo-4-(3-(trifluoromethyl)-5,6-dihydro-[1,2,4]triazolo[4,3-a]pyrazin-7(8H)-yl)-1-(2,4,5-trifluorophenyl)butan-2-yl)carbamate",C21H23F6N5O3,507.4,,In Stock,Sitagliptin,API Impurity Standards,n-boc-sitagliptin,https://pharmavive.com/products/browse/sitagliptin/n-boc-sitagliptin,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753714712/products/nahtkuho0pebxn8abqe9.png,2025-07-28 14:52:25,2025-07-28 14:58:33,68878ea963998afe534158d0
620,N-Desmethyl Ulipristal Acetate,PV-U002004,159681-66-0,"(8S,11R,13S,14S,17R)-17-Acetyl-13-methyl-11-(4-(methylamino)phenyl)-3-oxo-2,3,6,7,8,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl Acetate",C29H35NO4,461.6,,In Stock,Ulipristal,API Impurity Standards,n-desmethyl-ulipristal-acetate,https://pharmavive.com/products/browse/ulipristal/n-desmethyl-ulipristal-acetate,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753718229/products/z0huh8fdnkzuuq4iqe8w.png,2025-07-28 15:54:49,2025-07-28 15:57:09,68879d4963998afe53415eba
621,N-Formyl Pregabalin,PV-P006008,1488274-42-5,3-(Formamidomethyl)-5-methylhexanoic acid,C9H17NO3,187.2,,In Stock,Pregabalin,API Impurity Standards,n-formyl-pregabalin,https://pharmavive.com/products/browse/pregabalin/n-formyl-pregabalin,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753458324/products/mkbuhtaues3so3ncfios.png,2025-07-25 15:41:41,2025-07-25 15:45:24,6883a5b563998afe53415112
622,N-Formyl Saxagliptin,PV-S002006,N/A,"N-((S)-2-((1S,3S,5S)-3-Cyano-2-azabicyclo[3.1.0]hexan-2-yl)-1-((1r,3R,5R,7S)-3-hydroxyadamantan-1-yl)-2-oxoethyl)formamide",C19H25N3O3,343.4,,In Stock,Saxagliptin,API Impurity Standards,n-formyl-saxagliptin,https://pharmavive.com/products/browse/saxagliptin/n-formyl-saxagliptin,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753713178/products/onmcjzbvwakxmnlfmydf.png,2025-07-28 14:30:18,2025-07-28 14:32:58,6887897a63998afe53415655
623,N-Nitroso Ibrutinib Impurity 2,PV-I001002,NA,"(R)-1-(1-Nitrosopiperidin-3-yl)-3-(4-phenoxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",C22H21N7O2,415.5,,In Stock,Ibrutinib,API Impurity Standards,n-nitroso-ibrutinib-impurity-2,https://pharmavive.com/products/browse/ibrutinib/n-nitroso-ibrutinib-impurity-2,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753370623/products/pyl6cbeptx8p1uoyeldg.png,2025-07-24 15:22:23,2025-07-24 15:23:43,68824faf63998afe53413ff2
624,N-Nitroso-N-Desmethyl Doxycycline,PV-D005009,NA,"(4S,4aR,5S,5aR,6R,12aS)-3,5,10,12,12a-pentahydroxy-6-methyl-4-(methyl(nitroso)amino)-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide",C21H21N3O9,459.4,,In Stock,Doxycycline,API Impurity Standards,n-nitroso-n-desmethyl-doxycycline,https://pharmavive.com/products/browse/doxycycline/n-nitroso-n-desmethyl-doxycycline,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753365683/products/nvy102bgdw6bucsrjkyc.png,2025-07-24 13:57:46,2025-07-24 14:01:24,68823bda63998afe534138e7
